File Name,Sample Name,Injection_Type
Mo_2019_122_C,PC_Blank,Blank_method
Mo_2019_482,BLANK,Blank_method
Mo_2019_511,DIEL_BLANK_23MAY,Blank_method
Mo_2019_536,HALO_BLANK_24MAY,Blank_method
Mo_2019_537_B,DIEL_BLANK_22May,Blank_method
Mo_2019_538,Interactomics_Blank,Blank_method
Mo_2019_596,Jacqui_Blank1,Blank_method
Mo_2019_67,Mu_Blank,Blank_method
Mo_2019_266,SP2_Blank,Blank_method
Mo_2019_267,SP3_Blank,Blank_method
Mo_2019_320,ABC_019,Sample
Mo_2019_321,ABC_020,Sample
Mo_2019_322,ABC_021,Sample
Mo_2019_323,ABC_023,Sample
Mo_2019_324,ABC_024,Sample
Mo_2019_324_B,ABC_024,Sample
Mo_2019_325,ABC_025,Sample
Mo_2019_326,ABC_026,Sample
Mo_2019_327,ABC_027,Sample
Mo_2019_328,ABC_028,Sample
Mo_2019_329,ABC_029,Sample
Mo_2019_330,ABC_030,Sample
Mo_2019_331,ABC_031,Sample
Mo_2019_332,ABC_032,Sample
Mo_2019_333,ABC_033,Sample
Mo_2019_334,ABC_034,Sample
Mo_2019_335,ABC_035,Sample
Mo_2019_336,ABC_036,Sample
Mo_2019_337,ABC_073,Sample
Mo_2019_338,ABC_074,Sample
Mo_2019_339,ABC_075,Sample
Mo_2019_340,ABC_077,Sample
Mo_2019_341,ABC_078,Sample
Mo_2019_342,ABC_079,Sample
Mo_2019_343,ABC_080,Sample
Mo_2019_344,ABC_081,Sample
Mo_2019_345,ABC_082,Sample
Mo_2019_346,ABC_083,Sample
Mo_2019_347,ABC_084,Sample
Mo_2019_348,ABC_085,Sample
Mo_2019_349,ABC_086,Sample
Mo_2019_350,ABC_087,Sample
Mo_2019_351,ABC_088,Sample
Mo_2019_352,ABC_089,Sample
Mo_2019_353,ABC_090,Sample
Mo_2019_542,ABC_022,Sample
Mo_2019_543,ABC_inoculum B_T0,Sample
